Название;Артист;Продолжительность(мс);Наличие мата;Дата релиза;Жанр;Количество треков у артиста;Количество лайков артиста;Количество лайков альбома;ID трека;ID артиста;Язык
The Christmas Song;Mel Torme;199990;False;2010-12-07T00:00:00+03:00;;1856;2029;69;113876;1548;en
Shaft's Cab Ride;Isaac Hayes;67770;False;2009-11-03T00:00:00+03:00;funk;229;3088;148;113879;2237;en
Do Your Thing;Isaac Hayes;1167670;False;2009-11-03T00:00:00+03:00;funk;229;3088;148;113886;2237;en
Theme From Shaft;Isaac Hayes;279200;False;2009-11-03T00:00:00+03:00;funk;229;3088;148;113887;2237;en
Theme From Shaft;Isaac Hayes;284390;False;2009-11-03T00:00:00+03:00;funk;229;3088;148;113889;2237;en
Soulsville;Isaac Hayes;228440;False;2009-11-03T00:00:00+03:00;funk;229;3088;148;113891;2237;en
Evolet;Harald Kloser;163940;False;2008-03-04T00:00:00+03:00;films;105;63;21;113936;41954;en
La Vie Boheme B;Anthony Rapp;114520;False;2005-08-30T00:00:00+04:00;soundtrack;37;13;53;113948;640715;en
Without You;Daphne Rubin-Vega;261450;False;2005-08-30T00:00:00+04:00;soundtrack;42;5;53;113949;216382;en
I'll Cover You;Wilson Jermaine Heredia;148580;False;2005-08-30T00:00:00+04:00;soundtrack;9;0;53;113950;4280976;en
Will I?;Gilles Chiasson;149780;False;2005-08-30T00:00:00+04:00;soundtrack;2;0;53;113951;4280979;en
Out Tonight;Daphne Rubin-Vega;228750;False;2005-08-30T00:00:00+04:00;soundtrack;42;5;53;113952;216382;en
Take Me Or Leave Me;Idina Menzel;223190;False;2005-08-30T00:00:00+04:00;soundtrack;192;1925;53;113953;41694;en
What You Own;Anthony Rapp;236170;False;2005-08-30T00:00:00+04:00;soundtrack;37;13;53;113954;640715;en
Tango: Maureen;"Original Broadway Cast ""Rent""";189640;False;2005-08-30T00:00:00+04:00;soundtrack;4;9;53;113955;41955;en
Rent;Anthony Rapp;265400;False;2005-08-30T00:00:00+04:00;soundtrack;37;13;53;113956;640715;en
Another Day;Daphne Rubin-Vega;284330;False;2005-08-30T00:00:00+04:00;soundtrack;42;5;53;113957;216382;en
Santa Fe;Wilson Jermaine Heredia;192910;False;2005-08-30T00:00:00+04:00;soundtrack;9;0;53;113959;4280976;en
Seasons Of Love;"Original Broadway Cast ""Rent""";246200;False;2005-08-30T00:00:00+04:00;soundtrack;4;9;53;113960;41955;en
Light My Candle;Daphne Rubin-Vega;245310;False;2005-08-30T00:00:00+04:00;soundtrack;42;5;53;113961;216382;en
One Song Glory;Adam Pascal;163840;False;2005-08-30T00:00:00+04:00;soundtrack;72;12;53;113962;91508;en
I'll Cover You (Reprise);Jesse L. Martin;170940;False;2005-08-30T00:00:00+04:00;soundtrack;20;0;53;113963;4280973;en
Today 4 U;"Original Broadway Cast ""Rent""";139930;False;2005-08-30T00:00:00+04:00;soundtrack;4;9;53;113964;41955;en
Life Support;Wilson Jermaine Heredia;118590;False;2005-08-30T00:00:00+04:00;soundtrack;9;0;53;113965;4280976;en
La Vie Boheme;"Original Broadway Cast ""Rent""";265270;False;2005-08-30T00:00:00+04:00;soundtrack;4;9;53;113966;41955;en
I Should Tell You;Adam Pascal;180970;False;2005-08-30T00:00:00+04:00;soundtrack;72;12;53;113967;91508;en
Everyday People;Sly & The Family Stone;141090;False;2008-11-24T00:00:00+03:00;films;274;6052;36;113978;23952;en
Hello, Hello;The Sopwith Camel;144240;False;2008-11-24T00:00:00+03:00;films;1;0;36;113979;41959;en
Rock The Boat;The Hues Corporation;198290;False;2008-11-24T00:00:00+03:00;films;12;463;36;113988;171293;en
Tough Love;Forever The Sickest Kids;178570;False;2009-11-17T00:00:00+03:00;pop;52;440;12;113998;30330;en
What Do You Want From Me;Forever The Sickest Kids;157200;False;2009-11-17T00:00:00+03:00;pop;52;440;12;113999;30330;en
Take It Slow;Forever The Sickest Kids;165640;False;2009-11-17T00:00:00+03:00;pop;52;440;12;114000;30330;en
Do Or Die;Forever The Sickest Kids;197480;False;2009-11-17T00:00:00+03:00;pop;52;440;12;114001;30330;en
She Likes (Bittersweet Love);Forever The Sickest Kids;169560;False;2009-11-17T00:00:00+03:00;pop;52;440;12;114002;30330;en
Hip Hop Chick;Forever The Sickest Kids;168090;False;2009-11-17T00:00:00+03:00;pop;52;440;12;114003;30330;en
Hawkbot;Forever The Sickest Kids;218720;False;2009-11-17T00:00:00+03:00;pop;52;440;12;114004;30330;en
In A Little While;Allen Case;158720;False;1996-02-01T00:00:00+03:00;classical;19;1;3;114005;41981;en
Happily Ever After;Carol Burnett;239280;False;1996-02-01T00:00:00+03:00;classical;110;1;3;114013;39956;en
Yesterday I Loved You;Allen Case;166160;False;1996-02-01T00:00:00+03:00;classical;19;1;3;114014;41981;en
Many Moons Ago;Harry Snow;189170;False;1996-02-01T00:00:00+03:00;classical;8;1;3;114016;41976;en
"Finale ""Once Upon A Mattress""";Joe Bova;123970;False;1996-02-01T00:00:00+03:00;classical;16;0;3;114019;40052;en
Close Every Door;Gary Bond;197920;False;2007-10-16T00:00:00+04:00;classical;22;0;2;114022;41987;en
One More Angel In Heaven;"""Joseph & The Amazing Technicolor Dreamcoat""  1974 London Cast";260620;False;2007-10-16T00:00:00+04:00;classical;11;0;2;114025;5611412;en
Every Once In A While;Destry Rides Again Male Ensemble;169740;False;2015-06-30T00:00:00+03:00;soundtrack;3;0;1;114040;41991;es
Information;Black Daniel;223320;False;2013-09-27T00:00:00+04:00;alternative;44;3;;114072;41998;en
Gimme What You Got;Black Daniel;192330;False;2013-09-27T00:00:00+04:00;alternative;44;3;;114073;41998;en
The Actress Hasn't Learned The Lines (You'd Like To Hear);Patti LuPone;141270;False;2007-10-16T00:00:00+04:00;soundtrack;146;35;71;114080;27161;en
Tear It Up;Hollywood Undead;194740;True;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114086;42004;en
Everywhere I Go;Hollywood Undead;224780;True;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114087;42004;en
Immigrant Song;Hollywood Undead;160180;False;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114088;42004;en
Shout At The Devil;Hollywood Undead;201010;False;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114089;42004;en
Black Dahlia;Hollywood Undead;235180;True;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114090;42004;en
Dove And Grenade;Hollywood Undead;174340;True;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114091;42004;en
California;Hollywood Undead;200380;True;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114092;42004;en
Everywhere I Go;Hollywood Undead;210910;True;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114093;42004;en
Sell Your Soul;Hollywood Undead;203670;True;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114094;42004;en
Undead;Hollywood Undead;288150;True;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114095;42004;en
No. 5;Hollywood Undead;209940;True;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114096;42004;en
Bad Town;Hollywood Undead;164720;False;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114097;42004;en
El Urgencia;Hollywood Undead;224280;True;2009-11-10T00:00:00+03:00;alternativemetal;130;475096;2847;114098;42004;en
If My Friends Could See Me Now;Shirley Maclaine;148000;False;1976-11-26T00:00:00+03:00;pop;35;1;;114133;42020;en
My Personal Property;Shirley Maclaine;141660;False;1976-11-26T00:00:00+03:00;pop;35;1;;114139;42020;en
I Have Dreamed;Peabo Bryson;216680;False;2014-01-06T00:00:00+04:00;classical;205;839;7;114191;27250;en
High Flying, Adored;Patti LuPone;225800;False;1996-09-24T00:00:00+04:00;soundtrack;146;35;27;114193;27161;en
All I Ask Of You;Cliff Richard;252700;False;1988-11-07T00:00:00+03:00;pop;2808;4578;52;114194;13425;en
Our Last Summer;Paul Clarkson;160310;False;1999-11-01T00:00:00+03:00;musical;7;2;387;114196;39921;en
Not While I'm Around;Donny Osmond;250930;False;2001-03-01T00:00:00+03:00;classical;233;141;8;114197;13304;en
One World;Anthrax;355660;True;2013-10-14T00:00:00+04:00;thrashmetal;193;32656;642;114201;15243;en
Indians;Anthrax;339480;False;2013-10-14T00:00:00+04:00;thrashmetal;193;32656;642;114202;15243;en
I Am The Law;Anthrax;363590;False;2013-10-14T00:00:00+04:00;thrashmetal;193;32656;642;114203;15243;en
Imitation Of Life;Anthrax;262800;False;2013-10-14T00:00:00+04:00;thrashmetal;193;32656;642;114204;15243;en
One World;Anthrax;355440;False;2013-10-14T00:00:00+04:00;thrashmetal;193;32656;642;114205;15243;en
Imitation Of Life;Anthrax;266860;False;2013-10-14T00:00:00+04:00;thrashmetal;193;32656;642;114207;15243;en
I'm The Man;Anthrax;184790;False;2013-10-14T00:00:00+04:00;thrashmetal;193;32656;642;114208;15243;en
Medley: A.D.I. / Horror Of It All;Anthrax;469160;True;2013-10-14T00:00:00+04:00;thrashmetal;193;32656;642;114209;15243;en
All By Myself;Sheryl Crow;288490;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114221;7507;en
Reach Around Jerk;Sheryl Crow;241760;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114222;7507;en
Killer Life;Sheryl Crow;297660;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114223;7507;en
Volvo Cowgirl 99;Sheryl Crow;124680;True;1993-08-03T00:00:00+04:00;pop;339;3520;299;114224;7507;en
No One Said It Would Be Easy;Sheryl Crow;328850;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114225;7507;en
What I Can Do For You;Sheryl Crow;255130;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114226;7507;en
The Na-Na Song;Sheryl Crow;191340;True;1993-08-03T00:00:00+04:00;pop;339;3520;299;114227;7507;en
Solidify;Sheryl Crow;247950;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114228;7507;en
D'yer Mak'er;Sheryl Crow;260640;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114229;7507;en
Coffee Shop;Sheryl Crow;264540;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114230;7507;en
Essential Trip Of Hereness;Sheryl Crow;330000;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114231;7507;en
On The Outside;Sheryl Crow;277310;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114232;7507;en
Can't Cry Anymore;Sheryl Crow;221840;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114233;7507;en
You Want More;Sheryl Crow;360620;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114234;7507;en
We Do What We Can;Sheryl Crow;339200;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114235;7507;en
I Shall Believe;Sheryl Crow;275330;False;1993-08-03T00:00:00+04:00;pop;339;3520;299;114236;7507;en
Det lönar sig inte med tårar i år;Ewa Roos;154170;False;1976-01-01T00:00:00+03:00;estrada;28;0;1;114270;39755;sv
Man är jämt på glatt humör när solen skiner;Ewa Roos;153260;False;1976-01-01T00:00:00+03:00;estrada;28;0;1;114276;39755;sv
Vilken härlig dag;Ewa Roos;145710;False;1976-01-01T00:00:00+03:00;estrada;28;0;1;114283;39755;sv
Come Together;Ike & Tina Turner;216260;False;1970-09-04T00:00:00+03:00;rock;1117;308;366;114286;42082;en
I've Been Loving You Too Long;Ike & Tina Turner;340620;False;1970-09-04T00:00:00+03:00;rock;1117;308;366;114288;42082;en
You Gotta Move;The Rolling Stones;138680;False;1970-09-04T00:00:00+03:00;rock;546;623263;366;114289;6601;en
That's Wrong Little Mama;B.B. King;251050;False;1970-09-04T00:00:00+03:00;rock;1596;679722;366;114290;602;en
(I Can't Get No) Satisfaction;The Rolling Stones;340680;False;1970-09-04T00:00:00+03:00;rock;546;623263;366;114291;6601;en
Jumpin' Jack Flash;The Rolling Stones;243170;False;1970-09-04T00:00:00+03:00;rock;546;623263;113;114292;6601;en
Everyday I Have The Blues;B.B. King;147170;False;1970-09-04T00:00:00+03:00;rock;1596;679722;366;114293;602;en
Little Queenie;The Rolling Stones;273310;False;1970-09-04T00:00:00+03:00;rock;546;623263;113;114294;6601;en
How Blue Can You Get;B.B. King;330550;False;1970-09-04T00:00:00+03:00;rock;1596;679722;366;114295;602;en
Sympathy For The Devil;The Rolling Stones;411920;False;1970-09-04T00:00:00+03:00;rock;546;623263;113;114296;6601;en
Prodigal Son;The Rolling Stones;244060;False;1970-09-04T00:00:00+03:00;rock;546;623263;366;114297;6601;en
Proud Mary;Ike & Tina Turner;187080;False;1970-09-04T00:00:00+03:00;rock;1117;308;366;114298;42082;en
Under My Thumb;The Rolling Stones;218090;False;1970-09-04T00:00:00+03:00;rock;546;623263;366;114299;6601;en
Street Fighting Man;The Rolling Stones;244450;False;1970-09-04T00:00:00+03:00;rock;546;623263;113;114300;6601;en
Carol;The Rolling Stones;226530;False;1970-09-04T00:00:00+03:00;rock;546;623263;113;114301;6601;en
Love In Vain;The Rolling Stones;296410;False;1970-09-04T00:00:00+03:00;rock;546;623263;113;114303;6601;en
Live With Me;The Rolling Stones;182670;False;1970-09-04T00:00:00+03:00;rock;546;623263;113;114304;6601;en
Son Of A Preacher Man;Ike & Tina Turner;169690;False;1970-09-04T00:00:00+03:00;rock;1117;308;366;114305;42082;en
Land Of A Thousand Dances;Ike & Tina Turner;160330;False;1970-09-04T00:00:00+03:00;rock;1117;308;366;114306;42082;tl
Why I Sing The Blues;B.B. King;316890;False;1970-09-04T00:00:00+03:00;rock;1596;679722;366;114307;602;en
Please Accept My Love;B.B. King;290500;False;1970-09-04T00:00:00+03:00;rock;1596;679722;366;114308;602;en
I'm Free;The Rolling Stones;167620;False;1970-09-04T00:00:00+03:00;rock;546;623263;366;114309;6601;en
Midnight Rambler;The Rolling Stones;544380;False;1972-01-11T00:00:00+03:00;rock;546;623263;6058;114310;6601;en
Honky Tonk Women;The Rolling Stones;214290;False;1970-09-04T00:00:00+03:00;rock;546;623263;113;114311;6601;en
Stray Cat Blues;The Rolling Stones;227160;False;1970-09-04T00:00:00+03:00;rock;546;623263;113;114312;6601;en
Favorite Girl;Justin Bieber;256800;False;2010-12-07T00:00:00+03:00;pop;231;312909;1958;114313;38071;en
Down To Earth;Justin Bieber;245760;False;2010-12-07T00:00:00+03:00;pop;231;312909;1958;114314;38071;en
First Dance;Justin Bieber;222330;False;2010-12-07T00:00:00+03:00;pop;231;312909;1958;114315;38071;en
Common Denominator;Justin Bieber;248920;False;2010-12-07T00:00:00+03:00;pop;231;312909;1958;114316;38071;en
Love Me;Justin Bieber;191550;False;2010-12-07T00:00:00+03:00;pop;231;312909;1958;114317;38071;en
Bigger;Justin Bieber;197800;False;2010-12-07T00:00:00+03:00;pop;231;312909;1958;114318;38071;en
One Less Lonely Girl;Justin Bieber;229100;False;2010-12-07T00:00:00+03:00;pop;231;312909;1958;114319;38071;en
Saturday;Fall Out Boy;218040;False;2009-11-17T00:00:00+03:00;alternative;152;1270015;6807;114321;5976;en
Growing Up;Fall Out Boy;174280;False;2009-11-17T00:00:00+03:00;alternative;152;1270015;6807;114322;5976;en
Dead on Arrival;Fall Out Boy;195780;False;2009-11-17T00:00:00+03:00;alternative;152;1270015;6807;114323;5976;en
"""From Now On We Are Enemies""";Fall Out Boy;216110;False;2009-11-17T00:00:00+03:00;alternative;152;1270015;6807;114324;5976;en
Yule Shoot Your Eye Out;Fall Out Boy;221010;False;2009-11-17T00:00:00+03:00;alternative;152;1270015;6807;114325;5976;en
Grand Theft Autumn / Where Is Your Boy;Fall Out Boy;191840;False;2009-11-17T00:00:00+03:00;alternative;152;1270015;6807;114326;5976;en
Alpha Dog;Fall Out Boy;221930;False;2009-11-17T00:00:00+03:00;alternative;152;1270015;6807;114327;5976;en
Good Life;OneRepublic;255690;True;2010-02-15T00:00:00+03:00;pop;130;1139213;4008;114332;5952;en
Secrets;OneRepublic;224680;True;2010-02-15T00:00:00+03:00;pop;130;1139213;4008;114333;5952;en
All The Right Moves;OneRepublic;238000;False;2010-02-15T00:00:00+03:00;pop;130;1139213;4008;114334;5952;en
Waking Up;OneRepublic;367420;False;2010-02-15T00:00:00+03:00;pop;130;1139213;4008;114335;5952;en
Lullaby;OneRepublic;276680;False;2010-02-15T00:00:00+03:00;pop;130;1139213;4008;114336;5952;en
Everybody Loves Me;OneRepublic;214400;False;2010-02-15T00:00:00+03:00;pop;130;1139213;4008;114337;5952;en
Made For You;OneRepublic;257490;False;2010-02-15T00:00:00+03:00;pop;130;1139213;4008;114338;5952;en
Marchin On;OneRepublic;251690;False;2010-02-15T00:00:00+03:00;pop;130;1139213;4008;114339;5952;en
Fear;OneRepublic;226890;False;2010-02-15T00:00:00+03:00;pop;130;1139213;4008;114340;5952;en
All This Time;OneRepublic;242940;False;2009-11-17T00:00:00+03:00;rock;130;1139213;1109;114341;5952;en
Missing Persons 1 & 2;OneRepublic;299420;False;2010-02-15T00:00:00+03:00;pop;130;1139213;4008;114342;5952;en
Jingle Bells;The Puppini Sisters;177340;False;2006-12-18T00:00:00+03:00;jazz;116;3331;59;114343;167989;en
Santa Claus Is Coming To Town;Andrea Bocelli;212200;False;2015-05-25T00:00:00+03:00;vocal;586;104539;762;114345;10439;en
The Lord's Prayer;Andrea Bocelli;264730;False;2015-05-25T00:00:00+03:00;vocal;586;104539;762;114346;10439;en
White Christmas;Andrea Bocelli;239500;False;2021-11-26T00:00:00+03:00;vocal;586;104539;106;114347;10439;en
Silent Night;Andrea Bocelli;166890;False;2021-11-26T00:00:00+03:00;vocal;586;104539;106;114348;10439;en
Caro Gesù bambino;Andrea Bocelli;103000;False;2021-11-26T00:00:00+03:00;vocal;586;104539;106;114349;10439;it
Adeste fidelis;Andrea Bocelli;213020;False;2015-05-25T00:00:00+03:00;vocal;586;104539;762;114350;10439;pt
Jingle Bells;Andrea Bocelli;214250;False;2015-05-25T00:00:00+03:00;vocal;586;104539;762;114351;10439;en
I Believe;Andrea Bocelli;263830;False;2020-10-23T00:00:00+03:00;vocal;586;104539;139;114352;10439;en
The Christmas Song;Andrea Bocelli;271500;False;2015-05-25T00:00:00+03:00;vocal;586;104539;762;114353;10439;en
Cantique de noel;Andrea Bocelli;272750;False;2015-05-25T00:00:00+03:00;vocal;586;104539;762;114354;10439;fr
O tannenbaum;Andrea Bocelli;257670;False;2015-05-25T00:00:00+03:00;vocal;586;104539;762;114355;10439;de
Blue Christmas;Andrea Bocelli;256180;False;2015-02-09T00:00:00+03:00;vocal;586;104539;179;114356;10439;en
What Child Is This;Andrea Bocelli;271510;False;2021-11-26T00:00:00+03:00;vocal;586;104539;106;114357;10439;en
God Bless Us Everyone;Andrea Bocelli;195580;False;2021-11-26T00:00:00+03:00;vocal;586;104539;106;114359;10439;en
Angels We Have Heard On High;Andrea Bocelli;233450;False;2015-05-25T00:00:00+03:00;vocal;586;104539;762;114360;10439;en
Gloria In Excelsis Deo (Angels We Have Heard On High);Andrea Bocelli;235370;False;2021-11-26T00:00:00+03:00;vocal;586;104539;106;114363;10439;es
Santa la noche (Cantique De Noel);Andrea Bocelli;273940;False;2015-02-09T00:00:00+03:00;vocal;586;104539;179;114364;10439;es
Santa Claus llegó a la ciudad;Andrea Bocelli;214150;False;2015-02-09T00:00:00+03:00;vocal;586;104539;179;114365;10439;es
Bajas de las estrellas;Andrea Bocelli;168540;False;2021-11-26T00:00:00+03:00;vocal;586;104539;106;114366;10439;es
El abeto;Andrea Bocelli;257680;False;2015-02-09T00:00:00+03:00;vocal;586;104539;179;114367;10439;es
Noche de paz;Andrea Bocelli;276050;False;2015-02-09T00:00:00+03:00;vocal;586;104539;179;114368;10439;es
Blanca Navidad;Andrea Bocelli;238850;False;2015-02-09T00:00:00+03:00;vocal;586;104539;179;114369;10439;es
Dios nos bendecirá;Andrea Bocelli;195740;False;2021-11-26T00:00:00+03:00;vocal;586;104539;106;114370;10439;es
Venid Adoremos (Adeste Fideles);Andrea Bocelli;213020;False;2015-02-09T00:00:00+03:00;vocal;586;104539;179;114371;10439;es
Un poison violent, c'est ça l'amour;Serge Gainsbourg;152580;False;2020-02-05T00:00:00+03:00;estrada;813;6180;1;114389;8702;fr
C'est la cristallisation comme dit Stendhal;Serge Gainsbourg;124440;False;2018-07-20T00:00:00+03:00;pop;813;6180;24;114391;8702;fr
Boomerang;Jean Claude Brialy;175330;False;2018-07-20T00:00:00+03:00;pop;7;1;24;114392;42118;en
Rien rien j'disais ça comme ça;Serge Gainsbourg;72770;False;2018-07-20T00:00:00+03:00;pop;813;6180;24;114398;8702;fr
Pas mal pas mal du tout;Serge Gainsbourg;110290;False;2018-07-20T00:00:00+03:00;pop;813;6180;24;114399;8702;fr
Un jour comme un autre;Anna Karina;73860;False;2018-07-20T00:00:00+03:00;pop;86;58;24;114404;42119;fr
Roller Girl;Anna Karina;143120;False;2018-07-20T00:00:00+03:00;pop;86;58;24;114410;42119;fr
Ain't No Sunshine;Melody Gardot;339740;False;2009-11-09T00:00:00+03:00;vocaljazz;103;153307;2542;114443;2391;en
My One And Only Thrill;Melody Gardot;387680;False;2009-11-09T00:00:00+03:00;vocaljazz;103;153307;2542;114444;2391;en
Love Me Like A River Does;Melody Gardot;371770;False;2009-11-09T00:00:00+03:00;vocaljazz;103;153307;2542;114445;2391;en
The Rain;Melody Gardot;311110;False;2009-11-09T00:00:00+03:00;vocaljazz;103;153307;2542;114446;2391;en
Baby I'm A Fool;Melody Gardot;222190;False;2009-11-09T00:00:00+03:00;vocaljazz;103;153307;2542;114447;2391;en
Ni Rosas, Ni Juguetes;Paulina Rubio;215010;False;2009-11-10T00:00:00+03:00;pop;161;1035;17;114448;29498;es
Jeanette, Isabella;Tori Amos;268320;False;2009-11-10T00:00:00+03:00;;386;8019;75;114464;948;en
Our New Year;Tori Amos;253720;False;2009-11-10T00:00:00+03:00;;386;8019;75;114465;948;en
A Silent Night With You;Tori Amos;202470;False;2009-11-10T00:00:00+03:00;;386;8019;75;114466;948;en
Star Of Wonder;Tori Amos;230600;False;2009-11-10T00:00:00+03:00;;386;8019;75;114467;948;en
Harps Of Gold;Tori Amos;190920;False;2009-11-10T00:00:00+03:00;;386;8019;75;114468;948;en
Candle: Coventry Carol;Tori Amos;197900;False;2009-11-10T00:00:00+03:00;;386;8019;75;114469;948;en
Snow Angel;Tori Amos;223110;False;2009-11-10T00:00:00+03:00;;386;8019;75;114470;948;es
What Child, Nowell;Tori Amos;225510;False;2009-11-10T00:00:00+03:00;;386;8019;75;114471;948;en
Winter's Carol;Tori Amos;319680;False;2009-11-10T00:00:00+03:00;;386;8019;75;114472;948;en
Emmanuel;Tori Amos;179820;False;2009-11-10T00:00:00+03:00;;386;8019;75;114473;948;en
Pink And Glitter;Tori Amos;297010;False;2009-11-10T00:00:00+03:00;;386;8019;75;114474;948;en
Holly, Ivy and Rose;Tori Amos;284550;False;2009-11-10T00:00:00+03:00;;386;8019;75;114475;948;en
Via Dolorosa;Ronan Tynan;313150;False;2006-09-26T00:00:00+04:00;vocal;31;2;1;114483;42149;en
The Eyes Of Love;Ronan Tynan;247770;False;2005-03-01T00:00:00+03:00;vocal;31;2;1;114490;42149;en
Mansions Of The Lord;Ronan Tynan;317040;False;2005-03-01T00:00:00+03:00;vocal;31;2;1;114491;42149;en
Passing Through;Ronan Tynan;362890;False;2005-03-01T00:00:00+03:00;vocal;31;2;1;114492;42149;en
From A Distance;Ronan Tynan;336430;False;2005-03-01T00:00:00+03:00;vocal;31;2;1;114494;42149;en
Ready To Fly;Ronan Tynan;280110;False;2005-03-01T00:00:00+03:00;vocal;31;2;1;114495;42149;en
Ellie;Ronan Tynan;325510;False;2005-03-01T00:00:00+03:00;vocal;31;2;1;114496;42149;en
Amazing Grace (Going Home);Ronan Tynan;386270;False;2005-03-01T00:00:00+03:00;vocal;31;2;1;114498;42149;en
The Old Man;Ronan Tynan;321480;False;2005-03-01T00:00:00+03:00;vocal;31;2;1;114499;42149;en
Come In From The Rain;Ronan Tynan;268820;False;2005-03-01T00:00:00+03:00;vocal;31;2;1;114500;42149;en
How Great Thou Art;Ronan Tynan;271560;False;2005-03-01T00:00:00+03:00;vocal;31;2;1;114501;42149;en
Spin Me A Christmas;Aqua;213230;False;2009-11-16T00:00:00+03:00;pop;81;12677;1022;114502;26157;en
Good Morning Sunshine;Aqua;243800;False;2009-11-16T00:00:00+03:00;pop;81;12677;1022;114503;26157;en
Inner City Blues (Make Me Wanna Holler);Marvin Gaye;331540;False;2009-11-16T00:00:00+03:00;jazz;881;264171;32;114521;978;en
Compared To What?;Les McCann;150600;False;1998-06-30T00:00:00+04:00;bebopgenre;605;137;29;114524;16706;en
The Motor City Is Burning;John Lee Hooker;171000;False;2011-06-20T00:00:00+04:00;blues;1902;118771;304;114525;944;en
Our Roots (Began In Africa);Pharoah Sanders;620720;False;2006-10-09T00:00:00+04:00;jazz;214;547;15;114527;9832;en
Abraham, Martin And John;Smokey Robinson;180130;False;2002-09-24T00:00:00+04:00;pop;751;5048;10;114528;940;en
Treasure;Flyleaf;204100;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114544;29228;en
Circle;Flyleaf;182850;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114545;29228;en
This Close;Flyleaf;199930;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114546;29228;en
Swept Away;Flyleaf;249120;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114547;29228;en
Again;Flyleaf;184920;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114548;29228;en
Arise;Flyleaf;258400;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114549;29228;en
Uncle Bobby;Flyleaf;261620;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114550;29228;en
Tiny Heart;Flyleaf;186840;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114551;29228;en
The Kind;Flyleaf;166880;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114552;29228;en
In The Dark;Flyleaf;226520;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114553;29228;en
Beautiful Bride;Flyleaf;183180;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114554;29228;en
Chasm;Flyleaf;173610;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114555;29228;en
Set Apart This Dream;Flyleaf;194960;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114556;29228;en
Missing;Flyleaf;174440;False;2009-11-10T00:00:00+03:00;alternative;64;22516;229;114558;29228;en
Sleepwalk;Santo;144700;False;2015-09-11T00:00:00+03:00;soundtrack;680;60;1291;114562;361630;en
The Twist;Chubby Checker;154300;False;2005-10-18T00:00:00+04:00;pop;710;167657;84;114563;42188;en
I Love Paris;Vanessa Paradis;158560;False;2009-11-16T00:00:00+03:00;pop;166;13784;303;114565;28801;en
When I Say;Vanessa Paradis;237200;False;2009-11-16T00:00:00+03:00;pop;166;13784;303;114566;28801;en
Joe le taxi;Vanessa Paradis;234900;False;2019-11-29T00:00:00+03:00;estrada;166;13784;1002;114567;28801;fr
Emmenez-Moi;Vanessa Paradis;237660;False;2009-11-16T00:00:00+03:00;pop;166;13784;303;114568;28801;fr
I Wouldn't Dare;Vanessa Paradis;262760;False;2009-11-16T00:00:00+03:00;pop;166;13784;303;114569;28801;en
Marilyn & John;Vanessa Paradis;344470;False;2009-11-16T00:00:00+03:00;pop;166;13784;303;114570;28801;fr
Made In Asia;Vanessa Paradis;274330;False;2009-11-16T00:00:00+03:00;pop;166;13784;303;114571;28801;fr
This Will Be Our Year;Vanessa Paradis;145780;False;2009-11-16T00:00:00+03:00;pop;166;13784;303;114572;28801;en
